# Generated from translation/korean-draft.tsv; unused 0x82xx dialog-font slots.
# character	codepoint	code bytes	file offset	2bpp tile bytes
지	U+C9C0	82 FF	0x60FF0	D5 D5 85 85 ED ED CD CD CD CD 95 95 BD BD FD FD
짝	U+C9DD	82 01	0x60010	2B 2B 03 03 A9 A9 03 03 53 53 83 83 FB FB FB FB
쪽	U+CABD	82 02	0x60020	80 80 D9 D9 A5 A5 E7 E7 00 00 81 81 FD FD FD FD
차	U+CC28	82 03	0x60030	D9 D9 01 01 D9 D9 D8 D8 89 89 21 21 79 79 F9 F9
찾	U+CC3E	82 07	0x60070	9B 9B 0B 0B 99 99 0B 0B 7B 7B 83 83 C7 C7 93 93
충	U+CDA9	82 08	0x60080	83 83 83 83 C7 C7 11 11 01 01 C7 C7 BB BB 83 83
칠	U+CE60	82 0C	0x600C0	DD DD 05 05 DD DD 25 25 75 75 81 81 81 81 81 81
클	U+D074	82 0E	0x600E0	81 81 81 81 81 81 00 00 81 81 81 81 3F 3F 01 01
템	U+D15C	82 0F	0x600F0	89 89 89 89 81 81 A9 A9 89 89 C1 C1 DD DD C1 C1
트	U+D2B8	82 10	0x60100	FF FF 81 81 83 83 BF BF 81 81 C3 C3 00 00 FF FF
튼	U+D2BC	82 12	0x60120	81 81 83 83 81 81 81 81 00 00 BF BF BF BF 81 81
품	U+D488	82 13	0x60130	81 81 DB DB 81 81 00 00 00 00 81 81 BD BD 81 81
필	U+D544	82 14	0x60140	05 05 AD AD AD AD 05 05 81 81 C1 C1 83 83 81 81
하	U+D558	82 15	0x60150	DD DD 01 01 8D 8D 84 84 35 35 85 85 DD DD FD FD
한	U+D55C	82 16	0x60160	DD DD 01 01 8C 8C 34 34 8D 8D BD BD BF BF 81 81
할	U+D560	82 18	0x60180	9B 9B 0B 0B 29 29 2B 2B 83 83 C3 C3 83 83 83 83
합	U+D569	82 19	0x60190	05 05 05 05 24 24 25 25 8D 8D 99 99 81 81 81 81
해	U+D574	82 1A	0x601A0	F5 F5 05 05 05 05 01 01 61 61 05 05 D5 D5 F5 F5
했	U+D588	82 1B	0x601B0	91 91 01 01 81 81 61 61 95 95 D3 D3 93 93 81 81
혼	U+D63C	82 1C	0x601C0	EF EF 01 01 93 93 93 93 87 87 01 01 BF BF 83 83
